name,type,address,phone,email,latitude,longitude
"""Gilas Optic"" Xəzər",MEDICAL_SERVICE,"Xətai r-nu, Sadıqcan küç.15, Xətai Rayon Polis şöbəsinin yanı",+994 77 489 99 03,,40.36062779633448,49.9544073479364
Alazan Farm MMC Beşmərtəbə filialı,MEDICAL_SERVICE,Bakı ş.Yasamal rayonu Şıxəli Qurbanov 2/15,(012) 595 74 42 ; (012) 497 74 42 ; +994 55 515 27 29 (whatsapp),,40.458172807121144,49.75202019316954
Alazan Farm MMC Neftçilər filialı,MEDICAL_SERVICE,"Bakı ş. Nizami rayonu Qara Qarayev pr, ev 74 H",(012) 520 40 30 ; +994 55 505 48 67,,40.40937135827878,49.943597583814125
Aptek Amelia- ZEYTUN №421,MEDICAL_SERVICE,"20 yanvar, Tbilisi prospekti 3007-ci məhəllə (Bravo Hypermarketin yanı)",+994 55 667 96 98,amelia_zeytun@mail.ru,40.40103747831783,49.81054821359584
APTEK ONLİNE - DARÇIN,MEDICAL_SERVICE,,099 207 88 17; 099 207 88 17,,,
APTEK ONLİNE - DOKTA KASPİAN,MEDICAL_SERVICE,"Bakı şəh., Səbail r-nu., Bülbül küç., 10(64)",+99412 498 -04-07 ; +99451 333-04-07; +994(70)877 79 99,,,
APTEK PRIMORSK (ZƏFƏRAN),MEDICAL_SERVICE,Z.Qasımov küç,+99(412) 446-64-33,,40.224890363804455,49.576974206497844
APTEK PRIMORSK (ZƏFƏRAN),MEDICAL_SERVICE,"Sahil qəs, Məhərrəm Seyidov küç., ev 24",+99(412) 446 97 99,,40.229461916782135,49.581879767575316
CASPIAN İNTERNATIONAL APTEK MMC,MEDICAL_SERVICE,"Bakı, Badamdar qəs., 1-ci yaşayiş massivi 31",+99(412) 502 50 18 (1160),,40.34325976973797,49.810142616544134
DARÇIN APTEK,MEDICAL_SERVICE,H.Salmani 1,(012) 480-46-44,,,
DARÇIN APTEK,MEDICAL_SERVICE,N.Yusifbeyli 90 A,(012) 441-37-91: 099 207 88 17,,40.398084647277365,49.839268390699914
DARÇIN APTEK,MEDICAL_SERVICE,Nərimanov rayonu F.X.Xoyski pr. ev 130 m. 3,(012) 564-28-25,,40.404512956466974,49.86661967510834
DARÇIN APTEK,MEDICAL_SERVICE,M.Müşfiq küç. ev 10 m. 44,(012) 537-05-58,,40.36526461867309,49.819853225113924
DARÇIN APTEK,MEDICAL_SERVICE,N.Hikmət küç. ev 24,(012) 434-25-59,,40.37935765045385,49.80475925850869
DARÇIN APTEK,MEDICAL_SERVICE,R.Behbudov küç. 64,(012) 441-18-87,,40.38435394995957,49.84205132039602
DARÇIN APTEK,MEDICAL_SERVICE,"M.Qaşqay küç. Ev 63a, m 1",(012) 440-14-31,,40.392590821949774,49.84305363724777
DARÇIN APTEK,MEDICAL_SERVICE,"Binəqədi rayonu, C.Ramazonov, ev 2b",(012) 411-51-91,,40.431918261209574,49.852468261416696
DARÇIN APTEK,MEDICAL_SERVICE,Xırdalan şəh. H.Əliyev pr. ev c,(051)207-88-16,,40.462128411892291,49.72636121769621
DARÇIN APTEK,MEDICAL_SERVICE,Şərifzadə 273A-273E,(012) 433-86-24,,40.38866973613023,49.80262737427968
DOKTA KASPİAN,MEDICAL_SERVICE,"Bakı şəh., Səbail r-nu., Bülbül küç., 10(64)",+99 (412) 498 -04-07 +99 (451) 333-04-07,,40.37186509441912,49.844954664908535
DOKTA- BİLƏSUVAR № 647,MEDICAL_SERVICE,"Biləsuvar rayonu, H.Əliyev küçəsi",070 354 10 14; 070 529 22 34,,,
DOKTA-CƏLİLABAD № 690,MEDICAL_SERVICE,"Cəlilabad şəh., Heydər Əliyev Pr. Ev.184",055-305-66-00,,,
DOKTA-GƏNCƏ № 728,MEDICAL_SERVICE,"Gəncə şəh., Totanli Ev.10a",022-253-57-97,,,
DOKTA-İMİŞLİ № 661,MEDICAL_SERVICE,"İmişli şəh., Q.İsmayilzadə",055 284 78 77,,,
DOKTA-LƏNKƏRAN № 644,MEDICAL_SERVICE,"Lənkəran şəh., Səmədzadə Küçəsi",025-255-02-57,,,
DOKTA-MINGƏÇEVIR № 800,MEDICAL_SERVICE,"Mingəçevir şəh., Heydər Əliyev Prospekti 21a",024 27 4 89 50,,,
DOKTA-ŞIRVAN № 591,MEDICAL_SERVICE,"Şirvan şəh., 20 Yanvar Ev.26a",055 801 80 99,,,
DƏDƏMİN,MEDICAL_SERVICE,"Gəncə şəh., M.A. Abbaszadə 68",,,40.67348551078971,46.3560916819714
FOKUS OPTİKA MMC,MEDICAL_SERVICE,"Bakı şəh., Binəqədi ray., Cavadxan küç., 3245-ci məh.",(+994 77) 255 57 65,,40.41972122071619,49.81818020101256
FOKUS OPTİKA MMC,MEDICAL_SERVICE,"Bakı şəh., Səbail ray., Bülbül Pr.10",(+994 77) 408 02 28,,,
FOKUS OPTİKA MMC,MEDICAL_SERVICE,"Bakı şəh., Badamdar qəs., A.Abbaszadə küç. 13 A, “Badam Medical Center”daxilində",(+994 77) 255 57 46,,40.35249869563623,49.813346938677924
FOKUS OPTİKA MMC,MEDICAL_SERVICE,"Bakı şəhəri, Q.Nəbi küçəsi, 3 A",(+99412) 376-18-56,,40.39223081957044,49.95834356215712
Optic Gallery,MEDICAL_SERVICE,"Bakı şəh., Füzuli, 300",(+994) 51 291 36 44; (+994) 12 310 11 23,elnara@optrim.az,,
VITA NƏRIMANOV (VITA METROPARK),MEDICAL_SERVICE,"Baki şəh., Təbriz, 99",+99(412) 566 19 49 +99(455) 250 86 40,,,
VİTA-YASAMAL №8,MEDICAL_SERVICE,"Bakı şəh., Yasamal rayonu, Ə.Ələkbərov 97",+99(412) 533 04 76,,,
VİTA-ƏHMƏDLİ,MEDICAL_SERVICE,"Bakı şəh., Xətai ray., M.Rüstəmov 22",+99(412) 570 78 42; +99(455) 252 22 70,,40.384277783435195,49.961778315349584
ZEYTUN APTEK,MEDICAL_SERVICE,"Bakı şəhəri, M.Füzuli və R.Rza küçələrinin kəsişməsi, blok 3, 1-ci mərtəbə",012 594 25 05,,,
ZEYTUN APTEK № 313,MEDICAL_SERVICE,"Qaradağ rayonu, Sahil qəsəbəsi, Emin Quliyev küç. 50",(012) 4092313,,,
ZEYTUN APTEK №75 (VİTRUM APTEK),MEDICAL_SERVICE,"Bakı, Nizami r-nu, Qara Qarayev pr-ti, 33",012 421 40 85,,40.41797406045671,49.93763476059923
Zeytun Pharmaceuticals Aptek – 403- Sarğı,MEDICAL_SERVICE,"Bakı şəh, Ak.F.Qasımov, 9 (Mustfa Topçubaşov, 24 A)",0123105588; 099 3155588,gulnar.serxanli.87@mail.ru,,
ZƏFƏRAN – AĞDAM,MEDICAL_SERVICE,"Ağdam şəh., Quzanlı ərazisində",(+99426) 325 06 59,,40.156861277059164,47.162467983805165
ZƏFƏRAN – GÖYÇAY,MEDICAL_SERVICE,"Goycay şəh., H. Əliyev prospekti",02027-4-65-03,,40.64914473771505,47.74797609233259
ZƏFƏRAN – SUMQAYIT,MEDICAL_SERVICE,"Sumqayıt şəh., H.Əliyev pr., məh. 40",(+99418) 644 09 29,,40.583842937723446,49.67317570228989
ZƏFƏRAN- BƏRDƏ,MEDICAL_SERVICE,"Bərdə şəh., Ü.Hacıbəyov küç 3",020-205-03-20,,40.37265516417369,47.12630389059873
ZƏFƏRAN- GƏNCƏ,MEDICAL_SERVICE,"Gəncə, Ə.Məmmədov, 3 N-li TTTY xidmətinin yanı",022-256-42-77,,,
ZƏFƏRAN- LƏNKƏRAN,MEDICAL_SERVICE,"Lənkəran, Nizami küç, Mərkəzi Poliklinikanı yanı",025-254-49-94,,38.75912576824724,48.83864335336995
ZƏFƏRAN- MINGƏÇEVIR,MEDICAL_SERVICE,"Mingəcevir, H.Əliyev prospekti",024-275-62-28,,40.764559824536,47.062064889205935
ZƏFƏRAN- QAZAX,MEDICAL_SERVICE,"Qazax, Heydər Əliyev küç. 71",022-29-5-13-13,,,
ZƏFƏRAN- QAZAX,MEDICAL_SERVICE,"Qazax, Heydər Əliyev küç., ev 114 A",022-29-5-56-31,,41.09272784124674,45.36610531165751
ZƏFƏRAN- QUBA,MEDICAL_SERVICE,"Quba şəh., H.Əliyev prospekti",023-335-35-89,,,
ZƏFƏRAN- QUSAR,MEDICAL_SERVICE,"Qusar şəh., Səfixanov küç, Bazarın yaxınlığında",023-385-57-64,,,
ZƏFƏRAN- ŞIRVAN,MEDICAL_SERVICE,"Şirvan, F.Eynullayev küç.",021-215-34-68,,,
ZƏFƏRAN- ŞƏKI,MEDICAL_SERVICE,"Şəki, M.Rəsulzadə pr-ti",024-244-39-56,,41.19732659103224,47.17529565315409
ZƏFƏRAN- ŞƏMKIR,MEDICAL_SERVICE,"Şəmkir şəh., 20 yanvar küç.",022-305-63-68,,40.82607276717747,46.02960874574291
ZƏFƏRAN- XAÇMAZ,MEDICAL_SERVICE,"Xaçmaz, N. Nərimanov küç.",023-325-07-65,,,
ZƏFƏRAN- XAÇMAZ,MEDICAL_SERVICE,"Xaçmaz, Nərimanov küç, Mərkəzi xəstəxana ilə üzbəüz",023-325-01-22,,41.46162149961292,48.79858510934141
ZƏFƏRAN- XMSK,MEDICAL_SERVICE,"Bakı şəh., Badamdar şossesi, 31",+99(412) 502 41 53,,40.35300152636144,49.80920752642207
«ZƏFƏRAN- GƏNCƏ»,MEDICAL_SERVICE,"Gəncə şəh., 4-cü mkr, N.M. Xələfov küç.",022-2-65-12-42,,40.69638892597039,46.382610168566515
