name,type,address,phone,latitude,longitude
Xirdalan,PHARMACY,"Xirdalan Qəs-si, H.Əliyev pr-ti 1, Bazarin yani","(012)349-45-25, 055-455-89-39",40.455249761220976,49.738818914763776
Xırdalan Bravo,PHARMACY,"Heydər Əliyev pr., ev 240 (H. Əliyev parkı ilə üzbəüz, Bravo marketin yanı)",(77) 255-2766,40.45050547936113,49.7425554150557
Xırdalan Kristal,PHARMACY,"H. Əliyev prosp., 30-cu məhəllə (Köhnə bazarla üzbəüz)",(77) 255-3630,40.45684519999999,49.71758133955076
Yeni Günəşli,PHARMACY,"Suraxanı, Yaşayış sahəsi D, ev.13 A",.,40.37948637157841,49.96223671791418
Yüksəliş,PHARMACY,"Yüksəliş Yaşayı Kompleksi 2A, bl. 3 (Urolab klinikası və Rahat maketlə üzbəüz)",(77) 408-0235,40.45261656419276,49.74511381717956
Zabrat,PHARMACY,"Zabrat ŞTQ, Babək (Zabrat 1 qəs.) ev 46 m (Qızlar Liseyi №15 ilə üzbəüz ,Oba marketin yanı)",(77) 255-2758,40.46785307057698,49.94000192797346
ZF Şirvan,PHARMACY,"Şirvan şəh., Fariz Eynullayev küç",,39.926468002178474,48.91404149319455
Zəfər-Bərdə,PHARMACY,"Bərdə şəh., Ü. Hacıbəyov küç",,40.3717560668551,47.10941529093811
Əcəmi 1,PHARMACY,"Nəsimi, Məmmədcəfər Cəfərov küç, məhəllə 3005, ev.16",.,40.408361,49.810419
Əhmədli Butik,PHARMACY,"Bakı şəh., Xətai ray., Sarayev küç., 18 saylı binanın arxası, Turan klinikasının yaxınlığı.",(77) 255-5766,40.38599256463335,49.95754095611262
Əhmədli Metro,PHARMACY,"Xətai r-ru, Məhəmməd Hadi küç.23/24","(012)-376-04-15, 055-455-85-94",40.388444,49.951675
Əhmədli-2,PHARMACY,"Məhəmməd Hadi küç., 41 (Əhmədli m/s-nun çıxışı)",(77) 255-2753,40.385246279368744,49.95170101525667
